appname,type,path,regex
ABC News Live,Installation Timestamp,com.abc.abcnews/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
ABC News Live,Last Run Timestamp,com.abc.abcnews/f/nielsenconfig/PDDAED87D-FEF2-475A-8A00-2242A3F2A46A_aa.6.1.0.1,(?<!\d)\d{10}(?!\d)
Amazon Music,Installation Timestamp,com.amazon.music.tv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Badlands,Installation Timestamp,com.frogmind.badland/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Captive Portal Login,Installation Timestamp,com.android.captiveportallogin/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
CBS News Live,Installation Timestamp,com.cbsnews.ott/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Crackle,Installation Timestamp,com.crackle.androidtv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Disney ABC,Last Close Timestamp,com.disney.datg.videoplatforms.android.abc/sp/com.newrelic.android.agent.v1_com.disney.datg.videoplatforms.android.abc.xml,"[\n\r].*""serverTimestamp"" value=""\s*([^\n\r]*)"
Downloader,Installation Timestamp,com.esaba.downloader/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Downloader,Links Visited,com.esaba.downloader/r/app_webview/Default/Local Storage/leveldb/000006.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
Downloader,Backend Links Visited,com.esaba.downloader/r/app_webview/Default/Session Storage/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
Dreamx,User Email,com.google.android.apps.tv.dreamx/sp/PhenotypeStickyAccount.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Dreamx,User Email,com.google.android.apps.tv.dreamx/r/app_phenotype_file/com.google.android.apps.tv.dreamx#com.google.android.apps.tv.dreamx.pb,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
ESPN,Last Close Timestamp,com.espn.score_center/sp/account_prefs_ads.xml,(?<!\d)\d{13}(?!\d)
ESPN,Initial Run Timestamp,com.espn.score_center/sp/APP_MEASUREMENT_CACHE.xml,"[\n\r].*""ADMS_InstallDate"" value=""\s*([^\n\r]*)"
ESPN,Last Run Timestamp,com.espn.score_center/sp/APP_MEASUREMENT_CACHE.xml,"[\n\r].*""ADMS_PauseDate"" value=""\s*([^\n\r]*)"
ESPN,Installation Timestamp,com.espn.score_center/sp/cSPrefs.xml,"[\n\r].*""firstInstallId"">\s*([^\n\r]*)"
ESPN,Last Run Timestamp,com.espn.score_center/sp/cSPrefs.xml,"[\n\r].*""lastApplicationSessionTimestamp"">\s*([^\n\r]*)"
ESPN,Last Close Timestamp,com.espn.score_center/sp/cSPrefs.xml,"[\n\r].*""lastMeasurementProcessedTimestamp"">\s*([^\n\r]*)"
ESPN,User Email,com.espn.score_center/sp/account_prefs_one_id.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Fite,Installation Timestamp,com.flipps.fitetv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Fite,Initial Run Timestamp,com.flipps.fitetv/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""first_open_time"" value=""\s*([^\n\r]*)"
Fite,Last Pause Timestamp,com.flipps.fitetv/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_pause_time"" value=""\s*([^\n\r]*)"
Fite,Last Close Timestamp,com.flipps.fitetv/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_upload"" value=""\s*([^\n\r]*)"
Fite,User Email,com.flipps.fitetv/sp/com.google.android.gms.signin.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Fox Nation,Installation Timestamp,com.fng.foxnation/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Fox News,Installation Timestamp,com.foxnews.android/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Fox News,Installation Timestamp,com.foxnews.android/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Fox News,Last Close Timestamp,com.foxnews.android/sp/admob.xml,(?<!\d)\d{13}(?!\d)
Fox Sports,Installation Timestamp,com.foxsports.android/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Haystack News,Installation Timestamp,com.haystack.android/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
